날짜,식이구분,조식,중식,석식
2025-02-06,저염식,쌀밥+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀밥+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,잡곡밥+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-07,일반식,쌀밥1/2+누룽지+핫도그샌드위치+계란스크램블+꿀토마토+볶음김치,쌀밥+오징어무국+슈프림치킨+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼치즈퐁듀+쫄면+시금치나물+깍두기
2025-02-07,당뇨식,보리밥+누룽지+소시지구이+계란스크램블+토마토+볶음김치,보리밥+오징어무국+간장닭살볶음+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼구이+콩나물무침+시금치나물+깍두기
2025-02-07,연식,누룽지(탕기)+소시지구이+계란스크램블+꿀토마토+백김치,홍합살죽+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,야채죽+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-07,저염식,쌀밥+누룽지+소시지구이+계란스크램블+꿀토마토+백김치,쌀밥+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,잡곡밥+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-08,일반식,쌀밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,쌀밥+순두부찌개+소고기버섯볶음+지삼선+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-08,당뇨식,보리밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,보리밥+순두부찌개+소고기버섯볶음+가지나물+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-08,연식,순두부죽+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,해물죽+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,단호박죽+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-08,저염식,쌀밥+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,쌀밥+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,잡곡밥+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-09,일반식,쌀밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+케찹+쑥갓나물+포기김치,쌀밥+돈육김치국+닭봉데리야끼조림+단호박견과류찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+옛날과일사라다+약고추장+포기김치
2025-02-09,당뇨식,보리밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+쑥갓나물+포기김치,보리밥+돈육김치국+닭봉간장조림+단호박찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+맛살볶음+약고추장+포기김치
2025-02-09,연식,야채죽+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,소고기죽+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,쌀죽+팽이버섯된장국+간장돈육불고기+맛살볶음+약고추장+백김치
2025-02-09,저염식,쌀밥+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,쌀밥+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,비빔밥+후라이+팽이버섯된장국+간장돈육불고기+맛살볶음+간장양념장+백김치
2025-02-10,일반식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물쌈장무침+깍두기,쌀밥+물만두국+꿔바로우+유니짜장소스+반달단무지+포기김치,잡곡밥+뼈없는감자탕+오징어+브로콜리숙회+매콤두부조림+미나리나물+깍두기
2025-02-10,당뇨식,보리밥+아욱된장국+갈치구이+어묵잡채+참나물쌈장무침+깍두기,보리밥+물만두국+간장불고기+감자조림+양배추나물+포기김치,잡곡밥+뼈없는감자탕+오징어브로콜리볶음+매콤두부조림+미나리나물+깍두기
2025-02-10,연식,해물죽+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,흑임자죽+물만두국+간장불고기+감자조림+양배추나물+백김치,야채죽+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-10,저염식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,쌀밥+물만두국+간장불고기+감자조림+양배추나물+백김치,잡곡밥+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-11,일반식,쌀밥+콩나물맑은국+햄감자짜글이+계란후라이+파래무초무침+포기김치,쌀밥1/2+콘스프+찹스테이크+크림스파게티+양상추샐러드+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-11,당뇨식,보리밥+콩나물맑은국+햄감자짜글이+계란후라이+무나물+포기김치,보리밥+콘스프+찹스테이크+표고버섯볶음+숙주나물+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-11,연식,쌀죽+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,전복죽+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,버섯죽+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-11,저염식,쌀밥+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,쌀밥1/2+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,잡곡밥+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-12,일반식,쌀밥+버섯들깨국+돈육숙주볶음+쥐포볶음+유채된장나물+깍두기,"찰밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+크림새우+청경채나물+포기김치
2025-02-12,당뇨식,보리밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+깍두기,"보리밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+새우살볶음+청경채나물+포기김치
2025-02-12,연식,새우살죽+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"야채죽+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",소고기죽+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-12,저염식,쌀밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"쌀밥+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",잡곡밥+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-13,일반식,쌀밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,쌀밥+콩나물김치국+한방갈비찜+피쉬너겟+칠리소스+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-13,당뇨식,보리밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,보리밥+콩나물김치국+한방갈비찜+동태전+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-13,연식,흑임자죽+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀죽+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,해물죽+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-13,저염식,쌀밥+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀밥+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,잡곡밥+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-14,일반식,쌀밥1/2+누룽지+핫도그샌드위치+계란스크램블+꿀토마토+볶음김치,쌀밥+오징어무국+슈프림치킨+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼치즈퐁듀+쫄면+시금치나물+깍두기
2025-02-14,당뇨식,보리밥+누룽지+소시지구이+계란스크램블+토마토+볶음김치,보리밥+오징어무국+간장닭살볶음+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼구이+콩나물무침+시금치나물+깍두기
2025-02-14,연식,누룽지(탕기)+소시지구이+계란스크램블+꿀토마토+백김치,홍합살죽+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,야채죽+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-14,저염식,쌀밥+누룽지+소시지구이+계란스크램블+꿀토마토+백김치,쌀밥+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,잡곡밥+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-15,일반식,쌀밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,쌀밥+순두부찌개+소고기버섯볶음+지삼선+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-15,당뇨식,보리밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,보리밥+순두부찌개+소고기버섯볶음+가지나물+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-15,연식,순두부죽+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,해물죽+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,단호박죽+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-15,저염식,쌀밥+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,쌀밥+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,잡곡밥+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-16,일반식,쌀밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+케찹+쑥갓나물+포기김치,쌀밥+돈육김치국+닭봉데리야끼조림+단호박견과류찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+옛날과일사라다+약고추장+포기김치
2025-02-16,당뇨식,보리밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+쑥갓나물+포기김치,보리밥+돈육김치국+닭봉간장조림+단호박찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+맛살볶음+약고추장+포기김치
2025-02-16,연식,야채죽+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,소고기죽+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,쌀죽+팽이버섯된장국+간장돈육불고기+맛살볶음+약고추장+백김치
2025-02-16,저염식,쌀밥+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,쌀밥+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,비빔밥+후라이+팽이버섯된장국+간장돈육불고기+맛살볶음+간장양념장+백김치
2025-02-17,일반식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물쌈장무침+깍두기,쌀밥+물만두국+꿔바로우+유니짜장소스+반달단무지+포기김치,잡곡밥+뼈없는감자탕+오징어+브로콜리숙회+매콤두부조림+미나리나물+깍두기
2025-02-17,당뇨식,보리밥+아욱된장국+갈치구이+어묵잡채+참나물쌈장무침+깍두기,보리밥+물만두국+간장불고기+감자조림+양배추나물+포기김치,잡곡밥+뼈없는감자탕+오징어브로콜리볶음+매콤두부조림+미나리나물+깍두기
2025-02-17,연식,해물죽+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,흑임자죽+물만두국+간장불고기+감자조림+양배추나물+백김치,야채죽+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-17,저염식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,쌀밥+물만두국+간장불고기+감자조림+양배추나물+백김치,잡곡밥+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-18,일반식,쌀밥+콩나물맑은국+햄감자짜글이+계란후라이+파래무초무침+포기김치,쌀밥1/2+콘스프+찹스테이크+크림스파게티+양상추샐러드+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-18,당뇨식,보리밥+콩나물맑은국+햄감자짜글이+계란후라이+무나물+포기김치,보리밥+콘스프+찹스테이크+표고버섯볶음+숙주나물+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-18,연식,쌀죽+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,전복죽+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,버섯죽+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-18,저염식,쌀밥+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,쌀밥1/2+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,잡곡밥+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-19,일반식,쌀밥+버섯들깨국+돈육숙주볶음+쥐포볶음+유채된장나물+깍두기,"찰밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+크림새우+청경채나물+포기김치
2025-02-19,당뇨식,보리밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+깍두기,"보리밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+새우살볶음+청경채나물+포기김치
2025-02-19,연식,새우살죽+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"야채죽+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",소고기죽+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-19,저염식,쌀밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"쌀밥+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",잡곡밥+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-20,일반식,쌀밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,쌀밥+콩나물김치국+한방갈비찜+피쉬너겟+칠리소스+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-20,당뇨식,보리밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,보리밥+콩나물김치국+한방갈비찜+동태전+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-20,연식,흑임자죽+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀죽+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,해물죽+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-20,저염식,쌀밥+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀밥+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,잡곡밥+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-21,일반식,쌀밥1/2+누룽지+핫도그샌드위치+계란스크램블+꿀토마토+볶음김치,쌀밥+오징어무국+슈프림치킨+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼치즈퐁듀+쫄면+시금치나물+깍두기
2025-02-21,당뇨식,보리밥+누룽지+소시지구이+계란스크램블+토마토+볶음김치,보리밥+오징어무국+간장닭살볶음+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼구이+콩나물무침+시금치나물+깍두기
2025-02-21,연식,누룽지(탕기)+소시지구이+계란스크램블+꿀토마토+백김치,홍합살죽+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,야채죽+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-21,저염식,쌀밥+누룽지+소시지구이+계란스크램블+꿀토마토+백김치,쌀밥+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,잡곡밥+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-22,일반식,쌀밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,쌀밥+순두부찌개+소고기버섯볶음+지삼선+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-22,당뇨식,보리밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,보리밥+순두부찌개+소고기버섯볶음+가지나물+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-22,연식,순두부죽+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,해물죽+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,단호박죽+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-22,저염식,쌀밥+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,쌀밥+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,잡곡밥+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-23,일반식,쌀밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+케찹+쑥갓나물+포기김치,쌀밥+돈육김치국+닭봉데리야끼조림+단호박견과류찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+옛날과일사라다+약고추장+포기김치
2025-02-23,당뇨식,보리밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+쑥갓나물+포기김치,보리밥+돈육김치국+닭봉간장조림+단호박찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+맛살볶음+약고추장+포기김치
2025-02-23,연식,야채죽+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,소고기죽+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,쌀죽+팽이버섯된장국+간장돈육불고기+맛살볶음+약고추장+백김치
2025-02-23,저염식,쌀밥+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,쌀밥+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,비빔밥+후라이+팽이버섯된장국+간장돈육불고기+맛살볶음+간장양념장+백김치
2025-02-24,일반식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물쌈장무침+깍두기,쌀밥+물만두국+꿔바로우+유니짜장소스+반달단무지+포기김치,잡곡밥+뼈없는감자탕+오징어+브로콜리숙회+매콤두부조림+미나리나물+깍두기
2025-02-24,당뇨식,보리밥+아욱된장국+갈치구이+어묵잡채+참나물쌈장무침+깍두기,보리밥+물만두국+간장불고기+감자조림+양배추나물+포기김치,잡곡밥+뼈없는감자탕+오징어브로콜리볶음+매콤두부조림+미나리나물+깍두기
2025-02-24,연식,해물죽+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,흑임자죽+물만두국+간장불고기+감자조림+양배추나물+백김치,야채죽+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-24,저염식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,쌀밥+물만두국+간장불고기+감자조림+양배추나물+백김치,잡곡밥+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-25,일반식,쌀밥+콩나물맑은국+햄감자짜글이+계란후라이+파래무초무침+포기김치,쌀밥1/2+콘스프+찹스테이크+크림스파게티+양상추샐러드+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-25,당뇨식,보리밥+콩나물맑은국+햄감자짜글이+계란후라이+무나물+포기김치,보리밥+콘스프+찹스테이크+표고버섯볶음+숙주나물+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-25,연식,쌀죽+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,전복죽+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,버섯죽+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-25,저염식,쌀밥+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,쌀밥1/2+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,잡곡밥+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-26,일반식,쌀밥+버섯들깨국+돈육숙주볶음+쥐포볶음+유채된장나물+깍두기,"찰밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+크림새우+청경채나물+포기김치
2025-02-26,당뇨식,보리밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+깍두기,"보리밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+새우살볶음+청경채나물+포기김치
2025-02-26,연식,새우살죽+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"야채죽+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",소고기죽+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-26,저염식,쌀밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"쌀밥+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",잡곡밥+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-27,일반식,쌀밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,쌀밥+콩나물김치국+한방갈비찜+피쉬너겟+칠리소스+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-27,당뇨식,보리밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,보리밥+콩나물김치국+한방갈비찜+동태전+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-27,연식,흑임자죽+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀죽+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,해물죽+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-27,저염식,쌀밥+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀밥+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,잡곡밥+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
2025-02-28,일반식,쌀밥1/2+누룽지+핫도그샌드위치+계란스크램블+꿀토마토+볶음김치,쌀밥+오징어무국+슈프림치킨+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼치즈퐁듀+쫄면+시금치나물+깍두기
2025-02-28,당뇨식,보리밥+누룽지+소시지구이+계란스크램블+토마토+볶음김치,보리밥+오징어무국+간장닭살볶음+연두부+달래양념장+마늘쫑볶음+포기김치,잡곡밥1/2+홍합어묵국+미트볼구이+콩나물무침+시금치나물+깍두기
2025-02-28,연식,누룽지(탕기)+소시지구이+계란스크램블+꿀토마토+백김치,홍합살죽+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,야채죽+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-02-28,저염식,쌀밥+누룽지+소시지구이+계란스크램블+꿀토마토+백김치,쌀밥+오징어무국(고추분없이)+간장닭살볶음+연두부+달래양념장(고추분없이)+마늘쫑볶음+백김치,잡곡밥+홍합어묵국+미트볼구이+콩나물무침+시금치나물+백김치
2025-03-01,일반식,쌀밥+아욱된장국+야채계란찜+볼어묵볶음+새콤달콤무생채+포기김치,쌀밥+소고기미역국+간장돈육불고기+고추장멸치볶음+오이생채+깍두기,잡곡밥+양송이스프+두부까스+소스+토마토스파게티+코울슬로우+포기김치
2025-03-01,당뇨식,보리밥+아욱된장국+야채계란찜+볼어묵볶음+무나물+포기김치,보리밥+소고기미역국+간장돈육불고기+야채전+오이생채+깍두기,잡곡밥+양송이스프+두부계란전+갈치구이+양배추나물+포기김치
2025-03-01,연식,야채죽+아욱된장국+야채계란찜+볼어묵볶음+무나물+백김치,쌀죽+소고기미역국+간장돈육불고기+야채전+오이나물+백김치,소고기죽+양송이스프+두부계란전+갈치구이+양배추나물+백김치
2025-03-01,저염식,쌀밥+아욱된장국+야채계란찜+볼어묵볶음+무나물+백김치,쌀밥+소고기미역국+간장돈육불고기+야채전+오이나물+백김치,잡곡밥+양송이스프+두부계란전+갈치구이+양배추나물+백김치
2025-03-02,일반식,쌀밥+북어채계란국+햄양배추볶음+매콤감자조림+마늘쫑장아찌+포기김치,쌀밥+돈육김치국+순살아귀찜+메추리알장조림+열무된장나물+깍두기,찰흑미밥+시래기된장국+소고기버섯볶음+우렁야채초무침+상추겉절이+깍두기
2025-03-02,당뇨식,보리밥+북어채계란국+햄양배추볶음+매콤감자조림+호박나물+포기김치,보리밥+돈육김치국+순살아귀찜+메추리알장조림+열무된장나물+깍두기,찰흑미밥+시래기된장국+소고기버섯볶음+오이나물+상추겉절이+깍두기
2025-03-02,연식,누룽지+북어채계란국+햄양배추볶음+감자조림+호박나물+백김치,깻잎야채죽+무채들깨국+가자미구이+메추리알장조림+열무된장나물+백김치,흑임자죽+시래기된장국+소고기버섯볶음+오이나물+상추간장무침+백김치
2025-03-02,저염식,쌀밥+북어채계란국+햄양배추볶음+감자조림+호박나물+백김치,쌀밥+무채들깨국+가자미구이+메추리알장조림+열무된장나물+백김치,찰흑미밥+시래기된장국+소고기버섯볶음+오이나물+상추간장무침+백김치
2025-03-03,일반식,쌀밥+호박새우젓찌개+순살찜닭+자반볶음+쑥갓나물+포기김치,쌀밥+소고기당면국+오징어쭈꾸미볶음+야채튀김+얼갈이배추겉절이+깍두기,잡곡밥+동태탕+떡갈비파프리카조림+올방개묵김치무침+깻잎지+깍두기
2025-03-03,당뇨식,보리밥+호박새우젓찌개+순살찜닭+자반볶음+쑥갓나물+포기김치,보리밥+소고기당면국+오징어쭈꾸미볶음+고구마조림+얼갈이배추겉절이+깍두기,잡곡밥+동태탕+떡갈비구이+올방개묵김치무침+깻잎지+깍두기
2025-03-03,연식,해물죽+호박된장국+순살찜닭+파프리카볶음+쑥갓나물+백김치,야채죽+소고기당면국+간장오징어볶음+고구마조림+얼갈이배추나물+백김치,쌀죽+맑은동태탕+떡갈비구이+올방개묵+양념장+쪽파나물+백김치
2025-03-03,저염식,쌀밥+호박된장국+순살찜닭+파프리카볶음+쑥갓나물+백김치,쌀밥+소고기당면국+간장오징어볶음+고구마조림+얼갈이배추나물+백김치,잡곡밥+맑은동태탕+떡갈비구이+올방개묵+양념장+쪽파나물+백김치
